gossip;сплетни
gospel;евангелие
graft;прививать
grasp;понять, осознать
goat;козел
heath;вереск, пустошь
humble;скромный, смиренный
conceive;зачать, забеременеть
proliferation;распространение
fertile;плодородный, плодовитый
augur;прорицатель, гадать
Withdraw;изымать
Outcast;отверженный
Bespoke;сделанный на заказ
Behold;Вот!, Смотри!
Beget;порождать, рождать
blame;вина, ответственность
itinerary;маршрут, путь
irritate;раздражать
hindrance;помеха, препятствие
imply;подразумевать, означать
hesitant;нерешительный, колеблющийся
incur;подвергаться, навлечь на себя
hectic;беспокойный, лихорадочный
heed;внимание, осторожность
hoop;обруч
seize;воспользоваться
poke;совать
